TAG_DIVINE_ORACLES	TAG_PRESTIGE_CLASSES			Divine Oracles	All divine oracles are spellcasters, and most were clerics or druids before adopting the divine oracle prestige class. Whatever their other classes, all divine oracles share a particular devotion to the Divination school of magic, having mastered all available means to catch glimpses of the future.Hit Die: d6Requirements:To qualify to become a divine oracle, a character must fulfill all the following criteria.  Skill: ~Knowledge (religion)~[TAG_KNOWLEDGE] 8 ranks.   Feat: ~Skill Focus~[TAG_SKILL_FOCUS] (Knowledge [religion]).   Spells: Able to cast at least 2 divination spells.Base Attack and Base Save Bonuses: see ~table~[TAG_CLASS_FEATURES_DIVINE_ORACLE_TABLES]Class Skills: ~Concentration(Con)~[TAG_CONCENTRATION], Craft(Int), ~Heal(Wis)~[TAG_HEAL], ~Intimidate(Cha)~[TAG_INTIMIDATE], Knowledge (arcana)(Int), Knowledge (religion)(Int), Profession(Wis), ~Spellcraft(Int)~[TAG_SPELLCRAFT]Skill Points at Each Level: 2 + Int modifierClass Features:[CMD_CHILDREN]
TAG_CLASS_FEATURES_DIVINE_ORACLE_TABLES	TAG_DIVINE_ORACLES			Divine Oracle Base Attack & Base Save Bonuses	Level   ~BAB~[TAG_LEVEL_BONUSES]   ~Fort.~[TAG_FORTITUDE]   ~Reflex~[TAG_REFLEX]   ~Will~[TAG_WILL]  1         +0      +0        +0        +2  2         +1      +0        +0        +3  3         +1      +1        +1        +3  4         +2      +1        +1        +4  5         +2      +1        +1        +4  6         +3      +2        +2        +5  7         +3      +2        +2        +5  8         +4      +2        +2        +6  9         +4      +3        +3        +6 10         +5      +3        +3        +7
TAG_CLASS_FEATURES_DIVINE_ORACLE_SPELLS_PER_DAY	TAG_DIVINE_ORACLES			Divine Oracle Spells per Day/Spells Known	A divine oracle continues advancing in spellcasting ability as well as gaining the abilities of her new class. Thus, when a new divine oracle level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class level. She does not, however, gain any other benefit a character of that class would have gained.
TAG_CLASS_FEATURES_DIVINE_ORACLE_GRANTED_PROFICIENCIES	TAG_DIVINE_ORACLES			Divine Oracle Weapon and Armor Proficiency	Divine oracles gain no weapon or armor proficiencies.
TAG_CLASS_FEATURES_DIVINE_ORACLE_ORACLE_DOMAIN	TAG_DIVINE_ORACLES			Divine Oracle Oracle Domain	Upon adopting the divine oracle class, the character gains the Oracle domain's granted power: she casts divination spells at +2 caster level. (Choosing Oracle-domain spells as daily domain spells is not available in this implementation.)
TAG_CLASS_FEATURES_DIVINE_ORACLE_SCRY_BONUS	TAG_DIVINE_ORACLES			Divine Oracle Scry Bonus	A divine oracle adds a +1 sacred bonus to the save DC of all her divination (scrying) spells.
TAG_CLASS_FEATURES_DIVINE_ORACLE_PRESCIENT_SENSE	TAG_DIVINE_ORACLES			Divine Oracle Prescient Sense	Beginning at 2nd level, if a divine oracle makes a successful Reflex saving throw against an attack that normally inflicts half damage on a successful save, she instead takes no damage. This form of evasion works no matter what armor the divine oracle wears.
TAG_CLASS_FEATURES_DIVINE_ORACLE_DIVINATION_ENHANCEMENT	TAG_DIVINE_ORACLES			Divine Oracle Divination Enhancement	Beginning at 3rd level, a divine oracle may roll twice and take the better result when using divination spells such as augury or divination.
TAG_CLASS_FEATURES_DIVINE_ORACLE_UNCANNY_DODGE	TAG_DIVINE_ORACLES			Divine Oracle Uncanny Dodge	Starting at 4th level, a divine oracle gains the ability to react to danger before her senses would normally allow her to do so.
TAG_CLASS_FEATURES_DIVINE_ORACLE_IMPROVED_UNCANNY_DODGE	TAG_DIVINE_ORACLES			Divine Oracle Improved Uncanny Dodge	At 6th level and higher, the divine oracle can no longer be flanked. This defense denies a rogue the ability to use flank attacks to sneak attack the divine oracle.
TAG_CLASS_FEATURES_DIVINE_ORACLE_IMMUNE_TO_SURPRISE	TAG_DIVINE_ORACLES			Divine Oracle Immune to Surprise	At 10th level, the divine oracle's sensitivity to danger is so great that she is never surprised. She can always take a standard action during a surprise round, unless she is physically restrained from doing so.
